name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_36,21.952516555786133,19.4240779876709,72.53382873535156,251.51669311523438,5736.70556640625,158.9090163946696,-48.809173126062916,10.0,True,52.79528551222054,133.838376382632,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","36.30662155151367, 116.30949401855469, 124.10017395019531, 133.0762939453125, 165.59628295898438","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.137107371884729, 3.9202637608506756, 3.089997757213648, 1.0228718000729733, 0.04687412492359073"
WALLABY_J103538-484832_BS_37,22.081356048583984,19.26453971862793,76.89742279052734,246.4088134765625,5740.06640625,158.90867645665028,-48.8094314611558,10.0,True,53.023196454264934,134.89786064896265,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","29.92084503173828, 115.79717254638672, 120.62274169921875, 134.82273864746094, 136.76666259765625","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.18683054388502, 3.713796019276513, 3.1768670264141234, 1.0399618198209577, 0.005874107959710074"
WALLABY_J103538-484832_BS_38,22.169143676757812,19.230606079101562,72.41243743896484,246.67062377929688,5742.32177734375,158.90845135684881,-48.809482938212156,10.0,True,48.30550664674887,116.81939052756955,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","38.445762634277344, 110.22625732421875, 125.18708801269531, 113.62625122070312, 130.43434143066406","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.357310884369029, 4.980927154545679, 3.4507020794084307, 0.06480448736481595, 0.066358673885966"
WALLABY_J103538-484832_BS_39,21.876773834228516,19.27728843688965,76.82392883300781,247.96994018554688,5740.6416015625,158.909195244189,-48.80942198211572,10.0,True,49.762044348080444,129.72030348342037,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","68.01448059082031, 113.05610656738281, 129.92906188964844, 129.67478942871094, 117.46823120117188","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.83127837144118, 5.073586865692083, 2.9824918258649764, 0.5677719376491951, 0.008570339272085533"
WALLABY_J103538-484832_BS_40,21.798660278320312,19.41651153564453,81.07923126220703,246.40093994140625,5738.3271484375,158.9094050505663,-48.809194569651694,10.0,True,48.91475852408351,129.58366270965317,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","51.56126022338867, 108.84266662597656, 124.79522705078125, 131.05906677246094, 115.90873718261719","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","3.837767145636838, 4.36619546741566, 4.178783596548455, 0.020558995202386382, 0.1388794768275701"
WALLABY_J103538-484832_BS_41,21.955671310424805,19.2642879486084,75.14561462402344,247.45172119140625,5739.3515625,158.90899446746621,-48.80943910319582,10.0,True,48.675259794782505,137.2621763627479,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","37.08484649658203, 110.01914978027344, 125.9107894897461, 141.07684326171875, 131.00341796875","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.75257691968747, 4.653489762681032, 3.1119966439371463, 0.2902573246334919, 0.396236085839812"
WALLABY_J103538-484832_BS_42,22.111536026000977,19.2559871673584,71.575439453125,251.2164306640625,5738.91357421875,158.9085993427376,-48.80944397246099,10.0,True,49.56418347648989,106.07067366518703,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","43.464725494384766, 113.02372741699219, 134.07220458984375, 99.4081802368164, 132.13824462890625","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","3.8781024757447105, 5.943274431937216, 3.2812437649098474, 0.4572164060201405, 0.028732869321339925"
WALLABY_J103538-484832_BS_43,21.930179595947266,19.34929656982422,70.29953002929688,251.66763305664062,5739.4033203125,158.90906639005271,-48.809298971197194,10.0,True,49.611541190831694,120.19368207883171,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","43.41923522949219, 109.14567565917969, 134.509521484375, 116.85653686523438, 136.88540649414062","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.479084463672182, 5.708408271138306, 3.1507003592241087, 0.4986532604656281, 0.05332234944840119"
WALLABY_J103538-484832_BS_44,22.170249938964844,19.33919906616211,70.40869140625,251.79336547851562,5740.76806640625,158.90845803618768,-48.80930199395565,10.0,True,50.731894960747525,113.98972635033714,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","46.98323059082031, 118.80941772460938, 126.99879455566406, 112.31137084960938, 138.2961883544922","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.029427932098155, 4.736249184801142, 3.1558798672797046, 0.721860722301733, 0.037357537601291645"
WALLABY_J103538-484832_BS_45,22.221651077270508,19.272741317749023,72.40208435058594,254.988037109375,5742.84326171875,158.9083221699557,-48.80940973664427,10.0,True,47.92217554403355,116.36336949164141,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","46.998863220214844, 115.63020324707031, 121.80787658691406, 114.01011657714844, 132.98800659179688","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.070680716375822, 6.216569914439586, 3.1816088740706956, 0.05705376972541276, 0.14987274830869207"
WALLABY_J103538-484832_BS_46,21.746774673461914,19.31621551513672,77.0811538696289,247.04571533203125,5736.125,158.909527590547,-48.809364611320916,10.0,True,49.74318281319535,131.07567705354973,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","50.81467819213867, 119.55479431152344, 122.58978271484375, 132.94166564941406, 142.56930541992188","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.730637019684417, 4.036480503474505, 3.056110939651683, 0.5478756378426682, 0.0558159291176817"
WALLABY_J103538-484832_BS_47,22.038888931274414,19.248199462890625,75.1700668334961,242.76629638671875,5739.662109375,158.90878248938395,-48.80946111926103,10.0,True,48.33516935747889,134.53296937286754,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","73.18936157226562, 113.09480285644531, 124.8702392578125, 138.1838836669922, 132.0337677001953","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.489364244764756, 5.1301119438938105, 3.4433937827453085, 0.07680115439617069, 0.042991468883694435"
WALLABY_J103538-484832_BS_48,21.696578979492188,19.302913665771484,69.92044067382812,250.14773559570312,5735.7197265625,158.90965344508552,-48.80938965164182,10.0,True,50.87477507450125,153.99372417354382,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","67.19633483886719, 122.28229522705078, 125.81303405761719, 157.29055786132812, 155.2353057861328","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.482918600501176, 4.964580986309212, 3.512224438832947, 0.7060971137630647, 0.009266807198736137"
